Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Phi (°);Theta (°)
0;98;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;99;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;100;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;0.0;0.0
0;101;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;44.999999999999986;-90.0
0;102;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;103;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;104;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;0.0;0.0
0;105;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;135.0
0;106;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;45.000000000000014
0;107;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;108;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;109;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;110;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;111;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;112;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;113;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;114;;0.0004458363736574711;nan;2.0;3.3274999999999996e-07;0.0;0.0
0;115;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;0.0;0.0
0;116;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;117;;0.0005945431891958286;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;118;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;119;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;120;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;121;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;122;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;135.0
0;123;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;44.999999999999986;-90.0
0;124;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;125;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;126;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;127;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;44.999999999999986;-90.0
0;128;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;129;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;130;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;131;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;132;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;133;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;54.735610317245346;-135.0
0;134;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;135;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;0.0;0.0
0;136;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;137;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;138;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;139;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;44.999999999999986;180.0
0;140;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;141;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;45.000000000000014
0;142;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;45.000000000000014
0;143;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;144;;3.3306690738754696e-16;nan;3.0;4.99125e-07;0.0;0.0
0;145;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;-135.00000000000003
0;146;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;-135.00000000000003
0;147;;3.3306690738754696e-16;nan;3.0;4.99125e-07;62.63219484137733;45.0
0;148;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;45.00000000000003
0;149;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;-151.8450337629899
0;150;;3.3306690738754696e-16;nan;3.0;4.99125e-07;63.96534822376723;29.240821512219156
0;151;;3.3306690738754696e-16;nan;3.0;4.99125e-07;90.0;0.0
0;152;;3.3306690738754696e-16;nan;3.0;4.99125e-07;63.96534822376723;-29.240821512219135
