Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Surface Area (Lorenson 1987) (mm²);Phi (°);Theta (°)
0;80;;0.048805752847299155;nan;2385.0;1.908e-05;0.00569654297501172;83.27501805434021;-126.54321512345146
0;81;;0.05545492126917262;nan;2420.0;1.9359999999999998e-05;0.007391197321615237;84.68285939058786;-41.89163043231239
0;82;;2.7755575615628914e-15;nan;2420.0;1.9359999999999998e-05;0.00518105201169643;70.2334515299567;5.834550343129423
0;83;;2.7755575615628914e-15;nan;2556.0;2.0447999999999998e-05;0.0059200273098718;87.47578815424757;-65.92782094196598
0;84;;2.7755575615628914e-15;nan;2604.0;2.0831999999999996e-05;0.006859664212162526;70.655997634463;138.69942788312923
0;85;;0.013487943778198064;nan;2709.0;2.1672e-05;0.007254238896365535;69.12142267477661;-164.13318213997852
0;86;;0.00028200973654102235;nan;2742.0;2.1935999999999998e-05;0.007753329914276715;82.01111226639918;48.546852920883985
0;87;;0.008165311719133928;nan;2827.0;2.2615999999999998e-05;0.0063121087821064415;80.98627202259546;-174.54333444957044
0;88;;0.01674590619655414;nan;2830.0;2.264e-05;0.007659450494098555;78.43229017366757;89.04642051644669
0;89;;2.7755575615628914e-15;nan;2893.0;2.3143999999999997e-05;0.00800046170553414;83.8753895177108;-105.74036043698835
0;90;;0.14096644348477405;nan;2966.0;2.3727999999999997e-05;0.00855987080939784;85.30313219008295;149.1863132632006
0;91;;0.047140566134024176;nan;2991.0;2.3927999999999995e-05;0.007119347138280562;72.79948623064139;166.97735791012389
0;92;;2.7755575615628914e-15;nan;3000.0;2.3999999999999997e-05;0.007111322934367249;74.95515118953769;9.390615816959288
0;93;;2.7755575615628914e-15;nan;3050.0;2.4399999999999997e-05;0.008336447760022745;86.23356852756733;79.58349671686695
0;94;;0.00962361656355315;nan;3178.0;2.5423999999999996e-05;0.007897347588747846;80.19628679014116;-54.74306143934924
0;95;;1.0;0.9238699092547533;3196.0;2.5567999999999996e-05;0.009038611535182614;82.70903039779856;10.026256758410863
0;96;;2.7755575615628914e-15;nan;3494.0;2.7951999999999996e-05;0.008253874410025421;74.4430715013949;18.29007821318818
0;97;;0.02953182486466932;nan;3626.0;2.9007999999999994e-05;0.009571160751003508;81.10937693064825;-82.79104735608175
0;98;;0.030690314781925743;nan;3677.0;2.9415999999999998e-05;0.009009851262856456;85.00422697674705;164.64196096952008
0;99;;0.1981669140654132;nan;4164.0;3.3311999999999995e-05;0.010103829308521977;85.77351509395794;-0.998278854767078
0;100;;0.14444882845332474;nan;4384.0;3.5072e-05;0.011874494990745676;73.070778250482;-156.7774032173975
0;101;;0.11802390313007438;nan;4552.0;3.6416e-05;0.00937915861714976;88.96077211817588;97.74820895702308
0;102;;0.02114172300077688;nan;4770.0;3.816e-05;0.011256684822419372;78.29357070059538;35.912293901042055
0;103;;0.04011612695556954;nan;4806.0;3.8447999999999995e-05;0.011015936689897638;84.72891590815863;108.17759832074056
0;104;;0.05066308879865855;nan;5281.0;4.2248e-05;0.01300017914557979;85.06930263680545;-164.52504460068135
0;105;;0.030984205108664842;nan;5453.0;4.3623999999999994e-05;0.013215910817488446;67.36747421739798;-112.59024890095861
0;106;;1.0;0.9239486919876205;5600.0;4.48e-05;0.014209248741483575;89.54327757839327;-45.685808666241755
0;107;;0.1004593857148961;nan;6826.0;5.4607999999999996e-05;0.017138142618617645;89.55456399850793;-135.17009686833288
0;108;;0.46048401403906103;nan;7214.0;5.771199999999999e-05;0.016796026479015094;75.60450116886871;-34.277218454290605
0;109;;0.16545308012447268;nan;8138.0;6.510399999999999e-05;0.023669784702675414;84.3032604407267;66.4216407333635
0;110;;0.4164496687848348;nan;10060.0;8.047999999999999e-05;0.021367174170748154;82.50904920886272;-71.72510980659807
0;111;;0.017836007902505613;nan;10601.0;8.480799999999999e-05;0.028225436919539784;73.09730800140747;-90.03759675103221
0;112;;0.1181053446823247;nan;10661.0;8.528799999999999e-05;0.02529482928575066;76.29722413822867;123.77050167518175
0;113;;0.2182900936083617;nan;11439.0;9.151199999999999e-05;0.027781975564532015;72.84936782852536;-153.37575317072782
0;114;;0.28332534036906887;nan;12393.0;9.9144e-05;0.02717734120903361;87.48770192041314;82.7701707791049
0;115;;0.16204019659685653;nan;12865.0;0.00010292;0.030661629389884593;80.46004126776172;88.01476928688615
0;116;;0.11390327421793811;nan;13363.0;0.00010690399999999999;0.030520838076882422;83.84238991434421;-23.08221230409069
0;117;;0.6757859328102095;0.9595630906390424;13703.0;0.00010962399999999999;0.029465940631351474;81.61800165199524;-108.28227486997355
0;118;;0.42594142239616817;nan;15854.0;0.00012683199999999998;0.03549836475129391;84.54850401951126;30.38628883728066
0;119;;0.023329664713279796;nan;20894.0;0.00016715199999999997;0.049180079520502316;87.72959903794596;-84.10938139180648
0;120;;0.892284791633862;0.9036939745470743;27703.0;0.000221624;0.06581267018094811;82.64804708116884;-69.60669204212562
0;121;;0.34933197335361876;0.7242359478715992;430271.0;0.003442168;1.0432926492347891;64.63344622995845;104.23014906150922
